mission_name,chapter,difficulty,reward,steps,tips,trivia
Welcome to Vice City,Prologue,Easy,"$500 + Pistol",Drive to the safehouse in Little Havana|Meet your contact at the docks|Lose the cops (1-star wanted level),Take your time — there's no time limit during the tutorial. Explore the safehouse area for a free weapon pickup.,"The opening mission introduces the protagonists and sets up the core conflict, similar to GTA5's Prologue."
First Wheels,Prologue,Easy,"$800 + Compact Car",Steal a car from the dealership lot|Lose the heat (2-star wanted level)|Deliver the car to the garage,Use alleyways to break line of sight quickly. Don't shoot — just drive.,Rockstar traditionally names the protagonist's first car something memorable. This mission establishes the player's starter vehicle.
Meet the Crew,Prologue,Normal,"$1,200",Go to the nightclub meeting spot|Speak with each crew member to learn their specialties|Drive to the test job location,"Talk to everyone — one crew member gives a bonus side mission later if you build rapport.","Crew members introduced here recur throughout the entire story, similar to GTA5's trio system but with a larger ensemble cast."
Trial Run,Prologue,Normal,"$2,000",Reach the target building in Downtown|Retrieve the package (stealth or loud approach)|Exfiltrate before backup arrives,Stealth is optional but easier — use the side entrance. If you go loud bring body armor.,This mission teaches basic stealth mechanics and introduces the expanded wanted level system.
Nightlife Connection,Chapter 1: Making Contact,Normal,"$3,500",Drive to Club Vice on Ocean Drive|Intimidate the club owner into paying up|Collect the protection money from three businesses|Return to your boss,"Use a baseball bat instead of a gun — melee intimidation works faster and doesn't trigger a police response.","The club scene is a direct homage to GTA: Vice City's Malibu Club, which was one of the most iconic locations in the series."
Speedboat Run,Chapter 1: Making Contact,Normal,"$4,000",Rendezvous at the marina|Take the speedboat to the offshore exchange point|Fend off the ambush boats|Deliver the cargo to the mainland safehouse,"Stay in the speedboat — it's faster than the attackers' dinghies. Use the SMG for drive-by shooting from the boat.","Boat chases are expected to be a major gameplay element in GTA6, given the Vice City setting with its extensive waterways and coastline."
The Informant,Chapter 1: Making Contact,Normal,"$3,200",Follow the target without being spotted|Listen to the meeting from a safe distance|Eliminate the informant before he talks|Lose the resulting wanted level,"Use a civilian car for the tail — sports cars are too conspicuous. Park at a distance and use the phone camera to zoom in on the meeting.",Tail missions are a GTA staple. This one introduces the stealth follow mechanic with an urban Miami backdrop.
Warehouse Raid,Chapter 1: Making Contact,Hard,"$6,500",Scout the warehouse from the adjacent rooftop|Plant C4 on the three supply crates|Fight through the reinforcements|Escape in the provided getaway car,"Bring a rifle for the rooftop scouting phase. Plant C4 on the western crate first — it has the fewest guards nearby.","The warehouse district is based on Miami's Wynwood and Allapattah industrial areas, known for their street art and warehouses."
Cleanup Job,Chapter 1: Making Contact,Normal,"$4,800",Steal the garbage truck from the depot|Collect the three marked bags across town|Dump them in the Everglades|Return the truck without drawing too much attention,"Drive carefully — the truck is slow and attracts attention if visibly damaged. Use the compactor to hide evidence if you went loud.","This mission references the body-disposal mechanics previously seen in GTA5's Trevor Philips missions, expanded for the Vice City setting."
Shakedown,Chapter 1: Making Contact,Easy,"$2,500 + SMG",Visit five businesses in Little Haiti|Collect payment from each business owner|Deal with the one refusing to pay|Return to your crew's base,"Start with the northern businesses — the southern ones get spooked and are harder to collect from. Breaking one window is usually enough to persuade the holdout.","Protection racket missions are a Vice City tradition, going back to the original GTA: Vice City's asset system and gang territory mechanics."
